sentence,aspect_term,sentiment,from,to
"Judging from previous posts this used to be a good place, but not any longer.",place,negative,76,82
"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,negative,76,82
The food was lousy - too sweet or too salty and the portions tiny.,food,negative,76,82
The food was lousy - too sweet or too salty and the portions tiny.,portions,negative,76,82
Avoid this place!,place,negative,76,82
"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,positive,76,82
Saul is the best restaurant on Smith Street and in Brooklyn.,Saul,positive,76,82
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,foie gras terrine with figs,positive,76,82
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,duck confit,positive,76,82
The wine list is interesting and has many good values.,wine list,positive,76,82
The wine list is interesting and has many good values.,wine list,positive,76,82
I was very disappointed with this restaurant.,restaurant,negative,76,82
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,negative,76,82
"Food was okay, nothing great.",Food,neutral,76,82
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,Chow fun,negative,76,82
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,pork shu mai,negative,76,82
I/we will never go back to this place again.,place,negative,76,82
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",Fish,positive,76,82
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",Service,positive,76,82
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",oysters,positive,76,82
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,Restaurant Saul,positive,76,82
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",service,positive,76,82
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",decor,positive,76,82
I had the duck breast special on my last visit and it was incredible.,duck breast special,positive,76,82
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",food,negative,76,82
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",Thai fusion stuff,negative,76,82
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Grilled Chicken special with Edamame Puree,positive,76,82
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed,positive,76,82
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed,positive,76,82
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",place,negative,76,82
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",decor,positive,76,82
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",vent,negative,76,82
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",sake list,positive,76,82
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",spicy tuna roll,positive,76,82
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",rock shrimp tempura,positive,76,82
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,positive,76,82
we love th pink pony.,pink pony,positive,76,82
THe perfect spot.,spot,positive,76,82
Food-awesome.,Food,positive,76,82
Service- friendly and attentive.,Service,positive,76,82
Ambiance- relaxed and stylish.,Ambiance,positive,76,82
"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",place,positive,76,82
the food is decent.,food,neutral,76,82
"however, it's the service that leaves a bad taste in my mouth.",service,negative,76,82
"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter,negative,76,82
This place has got to be the best japanese restaurant in the new york area.,place,positive,76,82
Food is great.,Food,positive,76,82
Service is top notch.,Service,positive,76,82
"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin,positive,76,82
The sushi seemed pretty fresh and was adequately proportioned.,sushi,positive,76,82
The sushi seemed pretty fresh and was adequately proportioned.,sushi,positive,76,82
The rice to fish ration was also good--they didn't try to overpack the rice.,rice to fish ration,positive,76,82
We took advanatage of the half price sushi deal on saturday so it was well worth it.,half price sushi deal,positive,76,82
"In the evening, this place attracted a well dressed, with it, NY crowd.",crowd,positive,76,82
The food was well prepared and the service impecable.,food,positive,76,82
The food was well prepared and the service impecable.,service,positive,76,82
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,positive,76,82
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,positive,76,82
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,positive,76,82
"$6 and there is much tasty food, all of it fresh and continually refilled.",food,positive,76,82
"$6 and there is much tasty food, all of it fresh and continually refilled.",food,positive,76,82
"$6 and there is much tasty food, all of it fresh and continually refilled.",food,positive,76,82
"I am not a vegetarian but, almost all the dishes were great.",dishes,positive,76,82
"The food here is rather good, but only if you like to wait for it.",food,positive,76,82
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",somosas,positive,76,82
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",chai,positive,76,82
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",chole,positive,76,82
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dhosas,negative,76,82
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dhal,negative,76,82
"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,negative,76,82
"The kitchen however, is almost always slow.",kitchen,negative,76,82
"Also, specify if you like your food spicy- its rather bland if you don't.",food,negative,76,82
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",ambience,positive,76,82
If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,view,positive,76,82
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,positive,76,82
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,positive,76,82
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,positive,76,82
The lava cake dessert was incredible and I recommend it.,lava cake dessert,positive,76,82
"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",Cosette,positive,76,82
"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",restaurant,positive,76,82
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",food,positive,76,82
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",French Onion soup,negative,76,82
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",French Onion soup,positive,76,82
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",desserts,negative,76,82
"However, go for the ambience, and consider the food just a companion for a trip across the world!",ambience,positive,76,82
"However, go for the ambience, and consider the food just a companion for a trip across the world!",food,neutral,76,82
The pizza was delivered cold and the cheese wasn't even fully melted!,pizza,negative,76,82
The pizza was delivered cold and the cheese wasn't even fully melted!,cheese,negative,76,82
The pizza is overpriced and soggy.,pizza,negative,76,82
The pizza is overpriced and soggy.,pizza,negative,76,82
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive,76,82
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,negative,76,82
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,negative,76,82
I think I've had some the best meals of my life at minnow.,meals,positive,76,82
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",seafood,positive,76,82
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",wine list,positive,76,82
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",menu,positive,76,82
The combination of super-fresh ingredients in the dishes are unusual but really delicious.,ingredients,positive,76,82
Best Pastrami I ever had and great portion without being ridiculous.,Pastrami,positive,76,82
Best Pastrami I ever had and great portion without being ridiculous.,portion,positive,76,82
My wife had the fried shrimp which are huge and loved it.,fried shrimp,positive,76,82
My wife had the fried shrimp which are huge and loved it.,fried shrimp,positive,76,82
"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",place,positive,76,82
This place is the most Japanese it can ever get.,place,positive,76,82
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",signs,positive,76,82
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",specials menus,positive,76,82
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",food,positive,76,82
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",waitstaff,positive,76,82
This place is worth an one-hour drive.,place,positive,76,82
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",Leon,positive,76,82
